year,extension,count
2022,json,43062
2022,webp,7093
2022,md,543
2022,lockb,4
2022,yml,139
2022,mjs,21
2022,ts,1561
2022,png,100
2021,json,1235
2021,png,40
2022,js,1103
2022,env,5
2019,go,28
2019,json,1206
2020,json,846
2019,ts,338
2019,md,192
2019,yml,23
2019,npmignore,2
2019,png,35
2020,yml,80
2024,md,289
2023,js,584
2023,lock,84
2023,json,410
2023,md,434
2024,js,454
2024,json,268
2024,gitignore,42
2022,txt,85
2022,py,814
2019,py,321
2021,go,32
2020,go,114
2020,gitignore,85
2020,md,310
2020,js,1087
2019,js,1053
2021,md,669
2021,js,1577
2021,gitignore,73
2018,rb,2
2018,md,221
2018,gitignore,44
2018,rdb,1
2016,js,364
2016,json,56
2016,html,17
2016,gitignore,8
2016,css,53
2018,json,525
2018,pac,10
2018,go,20
2018,service,3
2017,js,161
2017,html,26
2017,css,69
2017,json,52
2017,md,100
2021,xib,13
2025,xcuserstate,2
2022,pbxproj,6
2021,m,77
2021,plist,5
2023,yml,81
2023,xcbkptlist,4
2023,xcuserstate,5
2023,plist,5
2023,pbxproj,3
2024,xcbkptlist,1
2023,m,47
2022,m,102
2022,plist,7
2022,xcbkptlist,5
2022,xcuserstate,7
2025,md,76
2021,xcuserstate,4
2021,xcbkptlist,2
2021,xcscheme,1
2021,h,65
2022,xib,22
2025,xib,1
2023,xib,6
2024,xib,3
2021,pbxproj,2
2025,pbxproj,2
2022,h,54
2023,h,28
2023,dylib,3
2022,html,187
2021,icns,1
2024,m,32
2024,dylib,3
2024,h,10
2012,h,1
2024,plist,2
2025,dylib,6
2025,plist,1
2024,xcuserstate,4
2024,pbxproj,2
2021,xcworkspacedata,1
2020,html,90
2020,css,21
2016,jsx,135
2016,exe,3
2016,md,24
2016,jpg,3
2016,ico,1
2024,py,256
2024,txt,38
2020,firebaserc,1
2020,lock,99
2020,cache,1
2020,py,1125
2020,txt,164
2020,pyc,14
2023,sqlite,1
2023,wsuo,1
2021,sh,29
2023,py,1368
2025,json,124
2025,js,227
2020,gradle,7
2020,properties,2
2020,java,55
2022,css,80
2021,py,642
2023,txt,83
2022,sample,5
2023,toml,25
2022,sh,22
2022,dockerignore,2
2022,gitignore,62
2022,lock,265
2022,toml,22
2020,replit,1
2021,lock,307
2021,toml,28
2021,sample,6
2021,txt,187
2023,rs,34
2023,dockerignore,7
2024,lock,22
2024,yml,50
2023,ts,573
2023,cpp,27
2023,gitignore,65
2023,gitmodules,4
2023,gyp,2
2023,sh,21
2021,ts,1488
2023,yaml,20
2022,svg,12
2023,example,17
2019,svg,1
2021,dockerignore,5
2019,mp3,420
2021,env,11
2019,wav,3
2023,pyc,366
2023,html,134
2018,js,849
2020,babelrc,3
2019,prettierrc,1
2019,gitignore,36
2019,babelrc,1
2017,babelrc,1
2024,hpp,1
2023,mp3,3257
