year,extension,count
2022,ts,4407
2022,json,6257
2022,sql,94
2022,tgz,2
2022,md,841
2022,js,6834
2021,html,472
2022,html,1632
2022,rest,176
2022,css,1035
2022,jpeg,85
2022,png,790
2022,txt,322
2022,jpg,358
2021,css,178
2018,jpg,200
2021,js,837
2020,jpg,78
2022,webp,15
2022,jsx,134
2022,pdf,14
2021,rest,1
2021,ts,253
2022,gitignore,49
2023,md,686
2023,rest,3
2023,js,2341
2021,png,228
2015,gitignore,5
2022,me,1
2020,json,2726
2015,png,146
2020,js,626
2023,html,2074
2023,css,359
2021,jpg,102
2022,tsx,376
2022,zip,6
2020,ts,221
2022,mp4,3
2022,ico,21
2021,json,388
2022,gif,15
2023,ts,725
2022,svg,20
2019,gif,16
2021,svg,11
2021,jpeg,6
2022,jfif,14
2023,tsx,197
2020,html,635
2023,json,268
2022,map,298
2022,gz,1785
2022,old,7
2022,pack,107
2022,docx,2
2022,o,4
2022,node,4
2022,gypi,2
2022,mk,1
2022,d,1
2022,m3,1
2021,gitignore,28
2022,avif,1
2022,mov,1
2020,png,239
2015,json,3
2021,vue,1
2020,css,100
2022,rar,2
2023,map,232
2022,eslintcache,6
2022,env,5
2021,md,337
2022,drawio,1
2025,sh,3
2023,avif,4
2023,svg,9
2023,png,426
2024,py,358
2024,md,144
2023,yml,52
2020,md,147
2025,md,79
2024,yml,10
2023,htm,3
2023,jpg,184
2024,css,144
2024,tsx,50
2024,html,131
2024,json,355
2024,svg,18
2018,md,108
2019,md,221
2019,lock,34
2018,html,658
2018,yml,21
2018,lock,10
2019,yml,87
2024,js,927
2024,zip,2
2018,png,296
2019,html,814
2018,map,4
2018,js,264
2018,pdf,7
2019,png,146
2018,css,59
2021,yml,50
2021,txt,16
2025,gitignore,2
2025,xml,7
2025,png,18
2018,java,838
2018,xml,112
2018,odt,3
2018,xhtml,184
2017,java,335
2020,xhtml,2
2017,sql,2
2017,md,29
2018,project,2
2018,asta,1
2018,pptx,1
2022,xml,158
2017,xml,213
2018,sql,55
2017,properties,15
2017,xhtml,46
2022,pb,4
2022,yml,66
2020,jpeg,30
2016,html,366
2024,jsx,213
2024,mjs,14
2024,jpg,113
2024,png,94
2024,mp4,2
2020,map,206
2018,gif,13
2021,py,145
2021,yaml,22
2021,c,1
2021,h,3
2023,lock,41
2022,lock,99
2022,prettierrc,1
2020,lock,28
2020,jsx,29
2021,lock,33
2023,txt,43
2017,html,151
2019,json,1593
2019,js,425
2023,mjs,2044
2023,mdb,5
2020,php,775
2019,gitignore,33
2019,lua,5
2018,lua,15
2018,erl,8
2018,gitignore,7
2019,h,14
2019,c,26
2019,erl,2
2018,c,42
2018,h,21
2013,html,62
2013,lua,26
2013,md,55
2013,ld,1
2026,yml,20
2026,md,135
2026,svg,9
2020,py,154
2021,wxss,10
2021,wxml,9
2024,pyc,20
2024,xml,37
2024,iml,1
2013,php,2
2026,ipynb,1
2025,svg,1
2025,csv,3
2023,xml,495
2022,class,123
2022,war,1
2023,java,138
2022,java,387
2022,yaml,13
2023,yaml,43
2023,jar,1
2023,original,1
2023,properties,3
2023,iml,2
2023,lst,3
2022,lst,4
2022,properties,88
2022,iml,7
2022,jar,1
2023,class,56
2023,wxml,13
2023,wxss,6
2022,wxml,11
2022,wxss,10
2019,wxss,1
2022,py,195
2022,s,21
2025,in,1
2025,toml,8
2025,py,92
2025,txt,11
2024,txt,32
2026,py,31
2017,css,29
2017,js,755
2017,png,78
2017,ico,1
2019,xml,841
2020,xml,291
2016,md,70
2021,xml,120
2021,iml,1
2021,properties,32
2021,jsp,44
2021,java,818
2019,css,115
2019,py,95
2023,mp3,4
2020,toml,1
2020,gitignore,12
2020,lua,1
2020,rs,6
2020,pest,1
2021,fnl,32
2024,ts,665
2021,sample,1
2023,gitignore,22
2014,yml,14
2014,md,59
2014,scss,1
2014,html,110
2025,html,15
2026,html,36
2017,scala,5
2021,ipynb,14
2021,sh,4
2023,jsx,506
2013,gitignore,4
2013,sln,1
2013,cs,28
2013,csproj,3
2013,txt,49
2023,toml,26
2019,gitreview,1
2024,cjs,13
2024,map,577
2025,json,52
2025,map,114
2025,cjs,1
2025,ts,49
2025,js,63
2015,d,6
2015,sdl,1
2016,py,25
2014,pdf,12
2014,plist,1
2014,py,127
2015,py,26
2014,xml,100
2014,iml,11
2015,xml,26
2014,php,67
2015,html,99
2014,arcconfig,2
2014,gitignore,19
2014,graffle,5
2014,properties,1
2014,jsp,15
2015,dump,3
2015,css,13
2015,php,3
2014,png,33
2015,conf,5
2015,jar,1
2014,conf,1
2014,ini,1
2015,js,22
2014,tgz,1
2014,java,307
2015,java,63
2014,css,22
2015,sh,8
2015,jpg,49
2014,js,243
2015,jsp,6
2014,ico,1
2014,name,2
2014,pptx,7
2014,ft,7
2014,docx,4
2015,txt,61
2013,js,6
2014,arclint,1
2015,md,59
2022,toml,44
2022,rs,130
2023,rs,1
2022,dockerignore,1
2015,rb,92
2016,rb,55
2017,rb,8
2015,gemspec,5
2015,yml,3
2017,yml,3
2019,rs,17
2018,rs,34
2018,toml,2
2018,json,43
2018,ld,1
2022,tsbuildinfo,1
2020,xlsx,1
2020,fasta,1
2016,js,49
2016,json,55
2011,spec,1
2010,spec,6
2010,gitignore,5
2012,spec,2
2017,spec,3
2016,spec,2
2013,spec,2
2019,spec,4
2019,package,1
2018,spec,6
2014,spec,1
2015,spec,1
2018,htm,12
2019,svg,23
2013,svg,1
2019,gz,5
2019,swp,1
2020,htm,6
2022,htm,3
2021,htm,3
2022,cs,339
2021,ail,17
2021,cs,322
2022,exe,4
2022,cpp,52
2023,h,11
2023,cpp,9
2023,exe,2
2021,tsx,107
2021,graphql,1
2021,scss,42
2023,scss,92
2023,cache,3
2023,firebaserc,2
2024,m,1
2024,tgz,1
2024,gradle,4
2024,xcscheme,1
2024,pbxproj,2
2024,plist,2
2024,mm,1
2024,storyboard,1
2024,kt,38
2024,env,3
2023,rb,316
2023,erb,130
2012,scss,1
2013,scss,2
2023,dio,6
2023,zip,1
2021,rb,105
2023,enc,2
2020,rb,1
2019,rb,31
2020,erb,1
2013,rb,1
2021,map,28
2017,jar,96
2017,dat,2
2017,iml,3
2017,gradle,10
2017,txt,47
2017,lock,11
2017,rawproto,583
2017,json,776
2017,bin,16
2017,apk,23
2017,dex,103
2017,class,180
2017,flat,61
2017,crc,1
2017,wxml,252
2017,wxss,204
2018,wxss,14
2018,wxml,18
2017,jpg,27
2016,wxss,1
2016,gif,2
2016,wxml,1
