year,extension,count
2022,cs,259
2022,csproj,16
2022,sln,3
2022,json,1336
2020,json,5136
2022,feature,13
2017,conf,25
2017,scala,33
2020,scala,12
2017,sql,6
2017,sbt,2
2017,sc,1
2021,json,2230
2021,js,787
2022,xml,99
2022,gradle,32
2022,java,732
2022,sql,29
2022,properties,25
2016,js,3377
2016,txt,23
2016,json,506
2016,pem,2
2017,json,330
2014,json,5
2015,json,24
2014,js,11
2015,js,185
2014,md,28
2014,npmignore,1
2024,json,311
2024,js,518
2024,md,89
2024,sh,4
2018,php,675
2018,css,6
2018,json,1046
2018,htaccess,5
2018,lock,26
2019,json,919
2023,php,341
2023,txt,79
2023,json,880
2023,html,89
2023,js,1084
2017,gitignore,16
2017,properties,4
2020,py,433
2023,yml,67
2023,env,31
2023,gitignore,31
2023,md,254
2023,yaml,30
2023,conf,3
2023,py,956
2023,sh,7
2021,lock,89
2021,yaml,22
2021,dart,77
2018,py,609
2018,pyc,6246
2018,sqlite3,30
2022,php,477
2021,php,753
2018,iml,12
2018,xml,90
2018,yml,128
2018,twig,5
2023,v2,2
2023,vsidx,1
2023,1,2
2023,cs,27
2023,sln,2
2023,pdf,12
2023,docx,14
2023,csproj,1
2023,props,8
2023,editorconfig,3
2020,txt,31
2021,md,210
2021,gitignore,35
2019,js,235
2020,md,160
2020,js,742
2022,js,648
2021,html,63
2021,go,180
2021,yml,113
2021,mod,26
2021,sum,12
2021,sql,24
2020,yaml,22
2020,dart,11
2020,plist,2
2020,pbxproj,2
2020,xml,84
2021,gradle,14
2020,gradle,7
2020,kt,1
2020,html,86
2022,jpg,45
2022,ejs,7
2021,env,45
2023,ts,250
2024,txt,26
2024,py,436
2024,rest,5
2019,py,716
2019,pyc,3425
2019,sqlite3,28
2019,xml,456
2021,pyc,6267
2020,lock,109
2021,pbxproj,2
2019,content,11
2019,order,54
2019,java,93
2019,properties,8
2019,txt,44
2022,md,159
2017,js,148
2017,txt,19
2019,go,96
2024,xml,71
