year,extension,count
2018,js,1874
2018,json,2383
2018,txt,10
2018,gitignore,28
2014,ldf,1
2014,mdf,1
2014,cs,5
2014,cshtml,9
2023,js,1556
2023,jpg,31
2023,svg,16
2023,png,84
2023,json,660
2023,yaml,18
2023,jfif,1
2023,css,20
2022,js,1618
2023,jsx,19
2023,md,273
2023,py,189
2020,ts,2548
2020,tsx,10
2020,scss,17
2018,png,65
2018,gif,1
2021,html,98
2021,css,17
2022,yml,585
2022,json,1122
2021,jpg,10
2021,png,41
2021,ini,10
2021,js,1052
2018,md,341
2018,php,11
2014,html,10
2014,css,14
2014,png,18
2014,svg,4
2014,jpg,1
2024,py,41
2024,png,32
2024,svg,4
2024,webp,1
2023,tsx,138
2023,ts,1498
2023,scss,32
2023,gitignore,33
2019,scss,5
2022,ts,2488
2023,yml,53
2023,prisma,16
2023,sql,13
2023,example,2
2023,conf,1
2013,pro,9
2013,txt,6
2013,md,16
2013,data,1
2019,xml,86
2019,csv,6
2019,class,336
2019,java,1131
2020,java,1755
2017,sketch,52
2017,lock,12
2017,pbxproj,377
2017,md,555
2017,swift,2754
2017,png,690
2017,json,6266
2017,strings,110
2017,modulemap,1
2017,h,55
2017,sh,1
2017,xcscmblueprint,1
2017,xcworkspacedata,2
2017,plist,10
2016,pbxproj,112
2016,json,341
2016,png,233
2016,swift,912
2017,xccurrentversion,1
2016,storyboard,4
2017,metal,6
2016,metal,4
2016,strings,22
2016,plist,7
2016,md,198
2016,xml,49
2016,name,1
2016,properties,6
2016,xsd,1
2016,pdf,35
2016,project,2
2016,iml,16
2016,sqlite,5
2016,txt,42
2016,ini,3
2016,db,3
2016,mozlz4,1
2016,rdf,1
2016,dat,1
2016,js,439
2016,java,1072
2016,metadata,2
2016,jsonlz4,9
2017,php,11
2017,css,8
2023,php,180
2023,lock,112
2023,html,348
2021,md,463
2021,json,1032
2021,psd,1
2012,properties,1
2012,css,26
2012,html,23
2012,php,42
2012,db,1
2012,xml,11
2012,png,68
2012,jpg,3
2012,gif,10
2012,ico,1
2012,sql,1
2012,pub,1
2012,txt,1
2012,rar,1
2012,ini,1
2016,gitignore,13
2016,yml,11
2025,txt,12
2025,py,279
2025,md,124
2019,php,67
2019,md,251
2019,go,3
2024,md,418
2024,xlsx,1
2018,html,165
2018,sol,2
2022,xml,166
2022,java,304
2017,java,1508
2016,gradle,16
2017,sql,15
2017,gradle,25
2017,properties,30
2018,gradle,49
2018,xml,217
2019,properties,34
2018,properties,15
2018,java,2529
2023,pdf,9
2023,robot,10
2023,pyc,10
2023,resource,3
2021,xml,102
2021,class,478
2021,txt,35
2021,project,1
2021,properties,16
2021,log,7
2021,java,590
2024,jpg,7
2024,json,297
2024,html,26
2024,cc,1
2024,txt,12
2024,dart,6
