year,extension,count
2017,png,33
2019,coffee,1
2019,json,3218
2019,sh,534
2016,js,782
2017,sh,335
2016,sh,415
2016,json,2615
2016,id,1
2016,lua,82
2015,lua,16
2014,py,11
2015,sh,302
2015,txt,21
2014,sh,232
2014,jade,8
2014,json,154
2014,md,79
2014,cson,18
2014,less,21
2014,gitconfig,44
2014,slate,6
2014,gitignore,46
2014,zshrc,70
2014,zsh,148
2014,scpt,2
2014,js,96
2014,gitmodules,64
2014,png,66
2015,json,171
2015,less,58
2014,tgz,20
2014,vim,247
2017,less,41
2014,caskfile,1
2015,tgz,10
2014,conf,111
2014,sql,1
2013,tgz,1
2014,projectsview,1
2014,testabc,3
2014,config,7
2014,svnweek,109
2014,txml,40
2014,jsp,1
2014,xml,24
2019,bashrc,107
2020,vimrc,236
2020,gitmodules,37
2020,yaml,58
2020,zshrc,166
2020,netrwhist,11
2016,conf,190
2016,profile,14
2016,vimrc,262
2016,zshrc,70
2013,conf,119
2013,profile,7
2013,zshrc,37
2011,screenrc,1
2013,vimrc,81
2011,profile,3
2022,emacs,23
2022,gitignore,45
2015,md,269
2020,conf,399
2015,conf,111
2013,sh,73
2023,zshrc,125
2023,gitconfig,34
2023,md,187
2025,sh,382
2026,macos,3
2026,common,4
2026,linux,2
2026,wsl,2
2026,sh,425
2026,json,248
2026,kdl,66
2025,md,124
2025,txt,17
2026,md,676
2025,gitconfig,56
2025,zshrc,113
2024,json,255
2024,lua,791
2023,lua,782
2021,vimrc,159
2023,vim,100
2021,el,390
2023,json,142
2023,kdl,7
2021,yml,84
2022,gitconfig,56
2022,conf,220
2023,gitignore,66
2021,gitconfig,79
2021,emacs,93
2021,sh,421
2021,json,224
2021,vim,461
2020,md,163
2022,md,228
2022,xdefaults,1
2022,bashrc,29
2022,xresources,6
2020,gitconfig,77
2020,xdefaults,2
2020,bashrc,86
2021,template,1
2021,txt,104
2020,desktop,5
2019,vim,405
2019,md,186
2019,conf,253
2019,xresources,16
2019,xdefaults,3
2019,profile,28
2019,vimrc,244
2019,py,116
2017,py,23
2020,py,26
2019,c,4
2013,gitconfig,28
2026,lua,380
2026,txt,13
2026,ini,27
2026,c,4
2026,mk,1
2026,h,3
2026,hex,1
2026,service,24
2026,yml,20
2013,name,1
2012,md,30
2012,lua,5
2013,lua,14
2013,xresources,18
2013,xinitrc,17
2012,ini,7
2012,conf,44
2012,vimrc,34
2013,gitmodules,51
2012,lst,4
2012,gitignore,17
2012,xinitrc,2
2012,gitconfig,21
2012,xresources,2
2020,gitignore,67
2015,gitignore,38
2016,gitmodules,39
2016,yaml,10
2016,md,246
2016,gitignore,85
2018,swp,4
2012,vim,64
